activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.0001,momentum,0.99,0.33416666666666667,0.3283333333333333,4.736151487241393
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.01,adam,0.0,0.36666666666666664,0.385,19.8909702608456
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.01,momentum,0.9,0.33645833333333336,0.335,20.58966080583787
sigmoid,"[64, 64]",0.0001,0.5,0.0,0.01,momentum,0.99,0.339375,0.32,19.872414939828175
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.0,adam,0.0,0.349375,0.35333333333333333,3.3212377164919835
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.0,momentum,0.9,0.3177083333333333,0.31666666666666665,5.056255255571305
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,4.756737402839676
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.0001,adam,0.0,0.3566666666666667,0.35,3.6644994042009276
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.0001,momentum,0.9,0.34208333333333335,0.36333333333333334,3.302478424138626
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.0001,momentum,0.99,0.3333333333333333,0.3333333333333333,4.064210712986754
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.01,adam,0.0,0.3154166666666667,0.31666666666666665,19.87374780342064
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.01,momentum,0.9,0.29333333333333333,0.30833333333333335,21.455051216062685
sigmoid,"[64, 64]",0.0001,0.5,0.0001,0.01,momentum,0.99,0.34291666666666665,0.34833333333333333,20.32664321906858
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.0,adam,0.0,0.5610416666666667,0.5533333333333333,0.9022922934811485
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.0,momentum,0.9,0.269375,0.275,1.3082675490021949
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,2.477371098564504
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.0001,adam,0.0,0.576875,0.5483333333333333,1.1916796534089829
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.0001,momentum,0.9,0.3333333333333333,0.3333333333333333,6.8881391473444324
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.0001,momentum,0.99,0.355625,0.36333333333333334,1.6750539144500096
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.01,adam,0.0,0.4585416666666667,0.4766666666666667,24.689300232928932
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.01,momentum,0.9,0.31583333333333335,0.335,33.03194534793769
sigmoid,"[64, 64, 64]",0.001,0.0,0.0,0.01,momentum,0.99,0.34958333333333336,0.34833333333333333,32.075916438602675
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.0,adam,0.0,0.5672916666666666,0.5366666666666666,1.3390551462098235
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.0,momentum,0.9,0.3439583333333333,0.3466666666666667,1.6260949509438107
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.0,momentum,0.99,0.335,0.33,1.9851008667916137
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.0001,adam,0.0,0.575,0.555,1.6187890604526876
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.0001,momentum,0.9,0.348125,0.33666666666666667,2.3228251069686983
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.0001,momentum,0.99,0.3333333333333333,0.3333333333333333,4.144190070074953
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.01,adam,0.0,0.531875,0.525,23.5692070882323
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.01,momentum,0.9,0.32083333333333336,0.315,32.88283284144097
sigmoid,"[64, 64, 64]",0.001,0.0,0.0001,0.01,momentum,0.99,0.3254166666666667,0.325,32.76205968913974
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.0,adam,0.0,0.406875,0.4066666666666667,1.9780415536570652
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.0,momentum,0.9,0.3333333333333333,0.3333333333333333,2.9838036665141088
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.0,momentum,0.99,0.41625,0.38166666666666665,2.854720622283446
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.0001,adam,0.0,0.49333333333333335,0.47,2.237617693588589
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.0001,momentum,0.9,0.3333333333333333,0.3333333333333333,4.3968799230347955
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.0001,momentum,0.99,0.3333333333333333,0.3333333333333333,4.863176808528155
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.01,adam,0.0,0.45375,0.405,24.85157554188867
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.01,momentum,0.9,0.33645833333333336,0.3333333333333333,32.785540685719994
sigmoid,"[64, 64, 64]",0.001,0.5,0.0,0.01,momentum,0.99,0.3333333333333333,0.3333333333333333,33.67787189201638
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.0,adam,0.0,0.45458333333333334,0.41333333333333333,2.3403923378626175
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.0,momentum,0.9,0.33208333333333334,0.335,3.5478964972334652
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.0,momentum,0.99,0.3333333333333333,0.3333333333333333,4.736241879366944
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.0001,adam,0.0,0.486875,0.48333333333333334,2.8082450575001445
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.0001,momentum,0.9,0.30645833333333333,0.31333333333333335,3.7848932845172274
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.0001,momentum,0.99,0.353125,0.36,4.7000581850308105
sigmoid,"[64, 64, 64]",0.001,0.5,0.0001,0.01,adam,0.0,0.34541666666666665,0.3433333333333333,25.29525748688041
