activation,hidden_nodes,lr,dropout,lambda1,lambda2,optimizer,momentum,train_acc,val_acc,final_loss
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0001,momentum,0.8,0.2269021739130435,0.1956521739130435,2.1903780021866677
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0001,momentum,0.9,0.44021739130434784,0.43478260869565216,3.0186343177589023
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.0001,momentum,0.99,0.45652173913043476,0.43478260869565216,1.5017048857503237
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.001,adam,0.0,0.8274456521739131,0.8369565217391305,1.3167053498803805
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.001,momentum,0.8,0.5448369565217391,0.5434782608695652,3.957435991937132
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.001,momentum,0.9,0.46195652173913043,0.45652173913043476,1.7863678726807484
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.001,momentum,0.99,0.453804347826087,0.45652173913043476,1.9926648706090226
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.01,adam,0.0,0.6956521739130435,0.717391304347826,6.037250265215026
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.01,momentum,0.8,0.33016304347826086,0.34782608695652173,8.119914290065
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.01,momentum,0.9,0.5557065217391305,0.5760869565217391,8.130709924017811
sigmoid,"[32, 32]",0.001,0.2,0.0001,0.01,momentum,0.99,0.005434782608695652,0.0,10.20992866848493
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0,adam,0.0,0.7703804347826086,0.7391304347826086,1.848768202439427
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0,momentum,0.8,0.3953804347826087,0.3804347826086957,2.473156528117756
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0,momentum,0.9,0.46059782608695654,0.40217391304347827,2.316233769938187
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0,momentum,0.99,0.5380434782608695,0.532608695652174,2.5556128470011705
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0001,adam,0.0,0.7758152173913043,0.7608695652173914,1.6984742606812375
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0001,momentum,0.8,0.5652173913043478,0.532608695652174,2.16593800658336
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0001,momentum,0.9,0.4470108695652174,0.44565217391304346,3.348587991006992
sigmoid,"[32, 32]",0.001,0.2,0.001,0.0001,momentum,0.99,0.5991847826086957,0.5869565217391305,2.0768491662498514
sigmoid,"[32, 32]",0.001,0.2,0.001,0.001,adam,0.0,0.7839673913043478,0.717391304347826,2.3509335608818906
sigmoid,"[32, 32]",0.001,0.2,0.001,0.001,momentum,0.8,0.3070652173913043,0.29347826086956524,3.1309603133411237
sigmoid,"[32, 32]",0.001,0.2,0.001,0.001,momentum,0.9,0.4483695652173913,0.43478260869565216,3.459332716227826
sigmoid,"[32, 32]",0.001,0.2,0.001,0.001,momentum,0.99,0.5448369565217391,0.5543478260869565,3.4948024572943965
sigmoid,"[32, 32]",0.001,0.2,0.001,0.01,adam,0.0,0.6385869565217391,0.6521739130434783,7.3787528699555445
sigmoid,"[32, 32]",0.001,0.2,0.001,0.01,momentum,0.8,0.08831521739130435,0.08695652173913043,10.654180117242728
sigmoid,"[32, 32]",0.001,0.2,0.001,0.01,momentum,0.9,0.06385869565217392,0.06521739130434782,10.057129787378956
sigmoid,"[32, 32]",0.001,0.2,0.001,0.01,momentum,0.99,0.41983695652173914,0.40217391304347827,8.976935849695593
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0,adam,0.0,0.8165760869565217,0.8260869565217391,0.8156994903600451
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0,momentum,0.8,0.5529891304347826,0.5543478260869565,1.5617073834913513
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0,momentum,0.9,0.4266304347826087,0.45652173913043476,2.085623774538825
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0,momentum,0.99,0.39266304347826086,0.41304347826086957,1.6096395985319325
sigmoid,"[32, 32]",0.001,0.5,0.0,0.0001,adam,0.0,0.7880434782608695,0.8260869565217391,1.141853230830622
